Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,235665566,0.304
ALOS3,ALLOS,ON      NM,532616595,0.597
ALPA4,ALPARGATAS,PN      N1,176733968,0.083
ABEV3,AMBEV S/A,ON,4394245879,2.492
ARZZ3,AREZZO CO,ON      NM,62305891,0.168
ASAI3,ASSAI,ON      NM,1349217892,0.864
AZUL4,AZUL,PN      N2,327593725,0.183
B3SA3,B3,ON  ED  NM,5602790110,3.172
BBSE3,BBSEGURIDADE,ON      NM,671750768,1.008
BBDC3,BRADESCO,ON  EJ  N1,1500728902,0.847
BBDC4,BRADESCO,PN  EJ  N1,5146576868,3.234
BRAP4,BRADESPAR,PN      N1,251003438,0.239
BBAS3,BRASIL,ON  EX  NM,1420949112,3.752
BRKM5,BRASKEM,PNA     N1,265877867,0.265
BRFS3,BRF SA,ON      NM,1677525446,1.137
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.889
CRFB3,CARREFOUR BR,ON      NM,533990587,0.284
BHIA3,CASAS BAHIA,ON      NM,94843047,0.042
CCRO3,CCR SA,ON      NM,995335937,0.623
CMIG4,CEMIG,PN      N1,1437415777,0.792
CIEL3,CIELO,ON      NM,1095462329,0.269
COGN3,COGNA ON,ON      NM,1814920980,0.215
CPLE6,COPEL,PNB     N2,1679335290,0.771
CSAN3,COSAN,ON      NM,1168097881,0.894
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.303
CMIN3,CSNMINERACAO,ON      N2,1110559345,0.305
CVCB3,CVC BRASIL,ON      NM,525582771,0.082
CYRE3,CYRELA REALT,ON      NM,265784616,0.297
DXCO3,DEXCO,ON      NM,302768240,0.115
ELET3,ELETROBRAS,ON      N1,1980568384,3.95
ELET6,ELETROBRAS,PNB     N1,268544014,0.591
EMBR3,EMBRAER,ON      NM,734632705,0.867
ENGI11,ENERGISA,UNT     N2,326511683,0.752
ENEV3,ENEVA,ON      NM,1579130168,0.908
EGIE3,ENGIE BRASIL,ON      NM,255236961,0.477
EQTL3,EQUATORIAL,ON      NM,1095587251,1.691
EZTC3,EZTEC,ON      NM,91514307,0.072
FLRY3,FLEURY,ON      NM,240822651,0.176
GGBR4,GERDAU,PN  ED  N1,1118525506,1.139
GOAU4,GERDAU MET,PN  ED  N1,660411219,0.31
NTCO3,GRUPO NATURA,ON      NM,846244302,0.641
SOMA3,GRUPO SOMA,ON      NM,496029967,0.161
HAPV3,HAPVIDA,ON      NM,4394332306,0.745
HYPE3,HYPERA,ON  EJ  NM,409490388,0.638
IGTI11,IGUATEMI S.A,UNT ED  N1,217622138,0.234
IRBR3,IRBBRASIL RE,ON  ATZ NM,81838843,0.145
ITSA4,ITAUSA,PN  EDJ N1,5372783971,2.523
ITUB4,ITAUUNIBANCO,PN  EDJ N1,4801593832,7.458
JBSS3,JBS,ON      NM,1134986472,1.165
KLBN11,KLABIN S/A,UNT     N2,706747385,0.725
RENT3,LOCALIZA,ON      NM,853202347,2.042
LREN3,LOJAS RENNER,ON      NM,951329770,0.721
LWSA3,LWSA,ON      NM,393173139,0.103
MGLU3,MAGAZ LUIZA,ON      NM,3142317573,0.318
MRFG3,MARFRIG,ON      NM,331799687,0.148
BEEF3,MINERVA,ON      NM,261036182,0.081
MRVE3,MRV,ON      NM,376187582,0.13
MULT3,MULTIPLAN,ON      N2,268505432,0.319
PCAR3,P.ACUCAR-CBD,ON      NM,159430826,0.029
PETR3,PETROBRAS,ON      N2,2379877655,4.471
PETR4,PETROBRAS,PN  ATZ N2,4566445852,8.364
RECV3,PETRORECSA,ON      NM,275005663,0.293
PRIO3,PETRORIO,ON      NM,800010734,1.618
PETZ3,PETZ,ON      NM,309729428,0.059
RADL3,RAIADROGASIL,ON      NM,1275798515,1.551
RAIZ4,RAIZEN,PN      N2,1193047233,0.194
RDOR3,REDE D OR,ON      NM,1168230366,1.354
RAIL3,RUMO S.A.,ON      NM,1218352541,1.237
SBSP3,SABESP,ON      NM,340001799,1.235
SANB11,SANTANDER BR,UNT,342918449,0.447
SMTO3,SAO MARTINHO,ON      NM,142377330,0.175
CSNA3,SID NACIONAL,ON,600865451,0.468
SLCE3,SLC AGRICOLA,ON      NM,195751130,0.174
SUZB3,SUZANO S.A.,ON      NM,683452836,1.791
TAEE11,TAESA,UNT     N2,218568234,0.349
VIVT3,TELEF BRASIL,ON,423091712,1.041
TIMS3,TIM,ON      NM,807896814,0.678
TOTS3,TOTVS,ON      NM,514122351,0.73
TRPL4,TRAN PAULIST,PN      N1,395801044,0.462
UGPA3,ULTRAPAR,ON      NM,1086411192,1.457
USIM5,USIMINAS,PNA     N1,515117391,0.261
VALE3,VALE,ON      NM,4196924316,12.796
VAMO3,VAMOS,ON      NM,421383330,0.168
VBBR3,VIBRA,ON      NM,1114412532,1.351
WEGE3,WEG,ON  ED  NM,1481593024,2.519
YDUQ3,YDUQS PART,ON      NM,289347914,0.272
Total Theorethical Quantity,,,96484729058,100
Reductor,,,16980634.85,
